,normalized,meaning
57,акация,акация\n1. ака́цаакаца шкIвокIвабелая акацияакация\n1. акаца *(заимствовано из русского)Robinia pseudoacacia L.[акация белая]\n2. акацагIважь *(заимствовано из русского)Robinia hispida L.[акация желтая]\n3. акацацIла *(заимствовано из русского) Уапшы акацаRobinia pseudoacacia L.[акация белая]\n4. акацагIважь *(заимствовано из русского)Caragana arborescens Lam.[акация желтая]\n5. кацацIла *(заимствовано из русского)Robinia L.\n6. каца *(заимствовано из русского) Уапшы акацаRobinia Pseudoacacia L.[акация белая]\n7. каца *(заимствовано из русского)Robinia L.\n8. а-куыц (абх.)Caragana arborescens L.[акация желтая]\n9. кIарц *(заимствовано из русского) Уапшы акацаRobinia pseudoacacia L.[акация белая]\n10. кIарцгIважь *(заимствовано из русского) Уапшы акацагIважьCaragana arborescens Lam.[акация желтая]\n11. кIарццIла *(заимствовано из русского) Уапшы кIаццIлаRobinia pseudoacacia L.[акация белая]\n12. кIац *(заимствовано из русского) Уапшы акацаRobinia pseudoacacia L.[акация белая]\n13. кIац *(заимствовано из русского)Robinia L.\n14. кIацгIважь *(заимствовано из русского) Уапшы акацагIважьCaragana arborescens Lam.[акация желтая]\n15. кIаццIла *(заимствовано из русского)Robinia L.\n16. кIаццIла *(заимствовано из русского) Уапшы кIацRobinia pseudoacacia L.[акация белая]
59,ячмень,ячмень\n1. лагвырцIы́цIсарма ла лагвырцIыцI гIаквчIватIу меня на левом глазу вскочил ячмень\n2. лачвкIва́п (диалект: ащхъарауа)\n3. ячме́нь *(заимствовано из русского)ячмень\n1. ажьайачмен *(заимствовано из русского)Hordeum leporinum Link.[ячмень заячий]\n2. гънячмен *(заимствовано из русского)Hordeum vulgare L.[ячмень озимый]\n3. гънлачвхIа Уапшы йачменHordeum vulgare L.[ячмень обыкновенный]\n4. гIапынячмен *(заимствовано из русского)Hordeum sativum L.[ячмень яровой]\n5. гIапынлачвхIа Уапшы йачменHordeum vulgare L.[ячмень обыкновенный]\n6. йачмен *(заимствовано из русского)Hardeum vulgare L.[ячмень обыкновенный]\n7. йачмен *(заимствовано из русского)Hordeum sativum L.\n8. а-кьар (абх.)Hordeum vulgare L.[ячмень обыкновенный]\n9. лачвхIаHordeum L.\n10. рхъайачмен *(заимствовано из русского)Hordeum leporinum ink.[ячмень заячий]\n11. рхъайачмен *(заимствовано из русского)Hordeum spontaneum C. Koch.[ячмень дикорастущий]\n12. рхъалачвхIа Уапшы рхъайачменHordeum Spontaneum C. Koch.[ячмень дикорастущий]
60,инжир,инжир\n1. а-лаха (абх.)Ficus carica.[инжир обыкновенный]
62,живокость,живокость\n1. дзадзыDelphinium L.\n2. а-лыц (абх.)Delphinium speciosum Bieb.[живокость красивая]
64,лютик,"лютик\n1. амар (абх.)Ranunculus caucasicus Bieb.[лютик кавказский]\n2. бгъьыцырцырRanunculus L.\n3. а-мар (абх.)Ranunculus bulbosus L.[лютик клубненосный]\n4. а-марч (абх.) Уапшы щатцагаRanunculus L.\n5. пынцIащатцагаRanunculus repes L.[лютик ползучий]\n6. щалхга Уапшы цыр-цыр, щатцагаRanunculus L.\n7. щатцагаRanunculus L."
66,маслина,маслина\n1. джыда Уапшы къазмыхбгъьElaeagnus angustifolia L.[маслина дикая]\n2. къазмыхбыгъьElaeagnus angustifolia L.[маслина дикая]\n3. къазмыхмцыElaeagnus angustifolia L.[маслина дикая]\n4. къазмыхшIырпшы Уапшы къазмыхбыгъьElaeagnus angustifolia L.[маслина дикая]\n5. а-масхуа (абх.)Olea europaea L.[маслина европейская]
67,рябина,рябина\n1. мшIайша́ [рябина  (дерево и ягоды)]рябина\n1. кIамыхIвраTanacetum vulgare L.[рябина дикая]\n2. а-мвха (абх.)Sorbus torminalis (L.) Crantz.[рябина глоговина]\n3. а-мчаша (абх.)Sorbus boissieri Schneid.[рябина Буасье]\n4. мшIайша Уапшы мышвмажваSorbus L.\n5. мышвмажваSorbus L.[рябина (плод рябины)]\n6. мышвмажваSorbus L.\n7. рхъахIврахъагIважь Уапшы кIамыхIвраTanacetum vulgare L.[рябина дикая]\n8. рябина *(заимствовано из русского) Уапшы мышвмажваSorbus L.
70,гранат,гранат\n1. грана́т *(заимствовано из русского) [гранат  (плод)]\n2. грана́т II. *(заимствовано из русского)гранат\n1. гранат *(заимствовано из русского)Punca L.\n2. гранат *(заимствовано из русского)Punca L.[гранат (плод граната)]\n3. а-мыцмидж (абх.)Punica granatum L.[гранат обыкновенный]
71,волжанка,волжанка\n1. а-нмхуц (абх.)Aruncus vulgaris Raf.[волжанка обыкновенная]
72,апельсин,апельсин\n1. апельси́н *(заимствовано из русского) [апельсин  (дерево и плод)]апельсин цIлаапельсин (дерево)апельсин\n1. апельсин *(заимствовано из русского) Уапшы тIамыCitrus sinensis L.\n2. а-патыркал (абх.)Citrus sinensis L.\n3. тIамыCitrus sinensis L.\n4. тIамы Уапшы тIамыCitrus sinensis L.[апельсин (плод апельсина)]
73,камыш,камыш\n1. къамы́шкамыш\n1. бнакъамышScirpus silivaticum L.[камыш лесной]\n2. къамышScirpus lacustris L.[камыш озерный]\n3. а-пкыз (абх.)Scirpus lacustris L.[камыш озерный]\n4. хъыбга Уапшы къамышScirpus silvaticus L.[камыш лесной]
75,алыча,алыча\n1. хIваса́ [алыча  (дерево и плоды)]хIвасацIлаа) слива (дерево)б) алыча (дерево)\n2. хIвасагIва́жь [алыча  (плоды)]алыча\n1. бхваса (абх.)Prunus divaricata Ledeb.\n2. а-пхаса (абх.)Prunus divaricata edeb.\n3. а-хваса (абх.)Prunus divaricata Ledeb.\n4. хIвасагIважьPrunus divaricata Ledeb.\n5. хIвасакъапщы Уапшы хIвасаPrunus divaricata Ledeb.\n6. хIвасацIла Уапшы хIвасаPrunus divaricata Ledeb.
76,лещина,"лещина\n1. бнараса Уапшы расаCorylos ovellana.[лещина обыкновенная]\n2. бнарасаCorylos ovellana L.[лещина обыкновенная (плод лещины обыкновенной)]\n3. а-бынраса (абх.) Уапшы расаCorylus avellana L.[лещина обыкновенная]\n4. мшвырасаCorylus colurna L. (C. iberica Wittm, et Kem-Nath).[лещина древовидная]\n5. расаCorylus avellana L.[лещина обыкновенная]\n6. расаCorylus avellana L.[лещина обыкновенная (плод лещины обыкновенной)]\n7. а-расатара (абх.) Уапшы расаCorylus avellana L.[лещина обыкновенная]\n8. расахвыц Уапшы расаCorylus avellana L.[лещина обыкновенная]\n9. расахвыцCorylus avellana L.[лещина обыкновенная ( плод лещины обыкновенной)]\n10. расацIла Уапшы расаCorylus avellana L.[лещина обыкновенная]"
77,вяз,вяз\n1. араш Уапшы рашыUlmus laevis Pall.\n2. къарагIачUlmus foliacea Gilib. ( = U. campestris L. p. p.).[вяз листоватый]\n3. мшIыгIвызUlmus Laevis Pall ( = u. effusa Willd).[вяз гладкий]\n4. а-раш (абх.) Уапшы рашыUlmus suberosa Moench.[вяз пробковый]\n5. рашыUlmus L.\n6. рашыъагIвчIчIаUlmus scabra Mill.[вяз горный]\n7. рашвтIай Уапшы рашыUlmus L.\n8. рашвы Уапшы рашыUlmus L.\n9. рашвы Уапшы рашыUlmus laevis Pall.
78,клевер,"клевер\n1. кле́вер *(заимствовано из русского) бот.клевер\n1. клевер *(заимствовано из русского) Уапшы хбгъьыкITrifolium L.\n2. къазхIвраTrifolium repens L.[клевер ползучий, белый]\n3. а-самкуыр (абх.) Уапшы хбгъьыкITrifolium L.\n4. хбгъьхъакъапщTrifolium pratense L.[клевер красный, луговой]\n5. хбгъьхъашкIвокIва Уапшы къазхIвраTrifolium repens L.[клевер ползучий]\n6. хбгъьхъашкIвокIва Уапшы къазхIвраTrifolium repens L.[клевер белый]\n7. хбгъьыкITrifolium L.\n8. хбгъьыкIхъвышTrifolium canescens Willd.[клевер седоватый]\n9. хъаджьаджьа Уапшы хбгъьыкITrifolium L.\n10. хъаджьаджьашкIвокIваTrifolium repens L.[клевер белый]\n11. хъаджьаджьашкIвокIваTrifolium repens L.[клевер ползучий]\n12. хъакъапщы Уапшы хбгъьхъакъапщTrifolium pratense L.[клевер луговой, красный]\n13. хъашкIвокIва Уапшы къазхIвраTrifolium repens L.[клевер ползучий, белый]\n14. а-цамкур (абх.)Trifolium L.\n15. щхъахбгъьыкITrifolium ambiguum Bieb.[клевер сходный]\n16. щхъахбгъьыкITrifolium montanum L.[клевер горный]"
